codeD,date_obs,t_moy
1,11/03/2019,5
1,11/03/2020,13
1,11/03/2021,10
1,11/03/2022,13
1,11/03/2023,7
1,11/04/2019,13
1,11/04/2020,14
1,11/04/2021,12
1,11/04/2022,10
1,11/04/2023,12
1,11/05/2019,13
1,11/05/2020,14
1,11/05/2021,12
1,11/05/2022,21
1,11/05/2023,12
1,11/06/2019,12
1,11/06/2020,16
1,11/06/2021,20
1,11/06/2022,19
1,11/06/2023,22
1,11/07/2019,18
1,11/07/2020,20
1,11/07/2021,19
1,11/07/2022,20
1,11/07/2023,29
1,11/08/2019,20
1,11/08/2020,27
1,11/08/2021,22
1,11/08/2022,25
1,11/08/2023,25
1,11/09/2019,14
1,11/09/2020,20
1,11/09/2021,20
1,11/09/2022,17
1,11/09/2023,24
1,11/10/2019,12
1,11/10/2020,8
1,11/10/2021,10
1,11/10/2022,19
1,11/10/2023,19
1,11/11/2019,3
1,11/11/2020,9
1,11/11/2021,5
1,11/11/2022,13
1,11/11/2023,9
1,11/12/2019,2
1,11/12/2020,2
1,11/12/2021,3
1,11/12/2022,-3
1,11/12/2023,12
1,12/01/2019,2
1,12/01/2020,3
1,12/01/2021,-3
1,12/01/2022,-1
1,12/01/2023,5
1,12/02/2019,3
1,12/02/2020,6
1,12/02/2021,-2
1,12/02/2022,2
1,12/02/2023,3
1,12/03/2019,6
1,12/03/2020,10
1,12/03/2021,7
1,12/03/2022,10
1,12/03/2023,12
1,12/04/2019,8
1,12/04/2020,13
1,12/04/2021,6
1,12/04/2022,15
1,12/04/2023,12
1,12/05/2019,11
1,12/05/2020,8
1,12/05/2021,12
1,12/05/2022,21
1,12/05/2023,13
1,12/06/2019,15
1,12/06/2020,17
1,12/06/2021,21
1,12/06/2022,23
1,12/06/2023,22
1,12/07/2019,22
1,12/07/2020,19
1,12/07/2021,21
1,12/07/2022,22
1,12/07/2023,23
1,12/08/2019,18
1,12/08/2020,27
1,12/08/2021,24
1,12/08/2022,24
1,12/08/2023,27
1,12/09/2019,16
1,12/09/2020,21
1,12/09/2021,18
1,12/09/2022,20
1,12/09/2023,26
1,12/10/2019,18
1,12/10/2020,9
1,12/10/2021,10
1,12/10/2022,17
1,12/10/2023,20
1,12/11/2019,5
1,12/11/2020,11
1,12/11/2021,3
1,12/11/2022,9
1,12/11/2023,9
1,12/12/2019,4
1,12/12/2020,6
1,12/12/2021,-1
1,12/12/2022,-3
1,12/12/2023,12
1,13/01/2019,4
1,13/01/2020,3
1,13/01/2021,3
1,13/01/2022,-1
1,13/01/2023,9
1,13/02/2019,3
1,13/02/2020,4
1,13/02/2021,-4
1,13/02/2022,9
1,13/02/2023,6
1,13/03/2019,7
1,13/03/2020,9
1,13/03/2021,8
1,13/03/2022,12
1,13/03/2023,16
1,13/04/2019,5
1,13/04/2020,14
1,13/04/2021,5
1,13/04/2022,15
1,13/04/2023,8
1,13/05/2019,12
1,13/05/2020,10
1,13/05/2021,12
1,13/05/2022,18
1,13/05/2023,14
1,13/06/2019,17
1,13/06/2020,15
1,13/06/2021,21
1,13/06/2022,21
1,13/06/2023,22
1,13/07/2019,21
1,13/07/2020,19
1,13/07/2021,16
1,13/07/2022,22
1,13/07/2023,22
1,13/08/2019,16
1,13/08/2020,26
1,13/08/2021,23
1,13/08/2022,23
1,13/08/2023,27
1,13/09/2019,18
1,13/09/2020,21
1,13/09/2021,20
1,13/09/2022,24
1,13/09/2023,19
1,13/10/2019,19
1,13/10/2020,6
1,13/10/2021,10
1,13/10/2022,19
1,13/10/2023,19
1,13/11/2019,3
1,13/11/2020,11
1,13/11/2021,4
1,13/11/2022,10
1,13/11/2023,15
1,13/12/2019,5
1,13/12/2020,5
1,13/12/2021,-1
1,13/12/2022,2
1,13/12/2023,10
1,14/01/2019,6
1,14/01/2020,9
1,14/01/2021,5
1,14/01/2022,-2
1,14/01/2023,7
1,14/02/2019,6
1,14/02/2020,8
1,14/02/2021,-2
1,14/02/2022,7
1,14/02/2023,8
1,14/03/2019,6
1,14/03/2020,6
1,14/03/2021,6
1,14/03/2022,7
1,14/03/2023,10
1,14/04/2019,4
1,14/04/2020,11
1,14/04/2021,5
1,14/04/2022,14
1,14/04/2023,8
1,14/05/2019,11
1,14/05/2020,11
1,14/05/2021,11
1,14/05/2022,18
1,14/05/2023,16
1,14/06/2019,19
1,14/06/2020,17
1,14/06/2021,21
1,14/06/2022,20
1,14/06/2023,23
1,14/07/2019,19
1,14/07/2020,20
1,14/07/2021,14
1,14/07/2022,24
1,14/07/2023,23
1,14/08/2019,16
1,14/08/2020,23
1,14/08/2021,25
1,14/08/2022,20
1,14/08/2023,27
1,14/09/2019,19
1,14/09/2020,24
1,14/09/2021,24
1,14/09/2022,24
1,14/09/2023,20
1,14/10/2019,20
1,14/10/2020,10
1,14/10/2021,7
1,14/10/2022,16
1,14/10/2023,18
1,14/11/2019,3
1,14/11/2020,14
1,14/11/2021,9
1,14/11/2022,13
1,14/11/2023,14
1,14/12/2019,8
1,14/12/2020,6
1,14/12/2021,"0"
1,14/12/2022,7
1,14/12/2023,7
1,15/01/2019,3
1,15/01/2020,10
1,15/01/2021,2
1,15/01/2022,-4
1,15/01/2023,7
1,15/02/2019,8
1,15/02/2020,6
1,15/02/2021,6
1,15/02/2022,6
1,15/02/2023,8
1,15/03/2019,9
1,15/03/2020,8
1,15/03/2021,5
1,15/03/2022,12
1,15/03/2023,6
1,15/04/2019,7
1,15/04/2020,11
1,15/04/2021,4
1,15/04/2022,15
1,15/04/2023,9
1,15/05/2019,11
1,15/05/2020,12
1,15/05/2021,10
1,15/05/2022,19
1,15/05/2023,15
1,15/06/2019,18
1,15/06/2020,16
1,15/06/2021,22
1,15/06/2022,26
1,15/06/2023,20
1,15/07/2019,19
1,15/07/2020,18
1,15/07/2021,15
1,15/07/2022,23
1,15/07/2023,28
1,15/08/2019,19
1,15/08/2020,23
1,15/08/2021,26
1,15/08/2022,21
1,15/08/2023,28
1,15/09/2019,22
1,15/09/2020,25
1,15/09/2021,22
1,15/09/2022,20
1,15/09/2023,22
1,15/10/2019,12
1,15/10/2020,6
1,15/10/2021,9
1,15/10/2022,19
1,15/10/2023,12
1,15/11/2019,4
1,15/11/2020,13
1,15/11/2021,7
1,15/11/2022,13
1,15/11/2023,12
1,15/12/2019,12
1,15/12/2020,10
1,15/12/2021,"0"
1,15/12/2022,5
1,15/12/2023,6
1,16/01/2019,3
1,16/01/2020,8
1,16/01/2021,-1
1,16/01/2022,-3
1,16/01/2023,4
1,16/02/2019,8
1,16/02/2020,12
1,16/02/2021,10
1,16/02/2022,7
1,16/02/2023,7
1,16/03/2019,13
1,16/03/2020,13
1,16/03/2021,6
1,16/03/2022,13
1,16/03/2023,8
1,16/04/2019,11
1,16/04/2020,16
1,16/04/2021,5
1,16/04/2022,15
1,16/04/2023,7
1,16/05/2019,10
1,16/05/2020,14
1,16/05/2021,14
1,16/05/2022,21
1,16/05/2023,12
1,16/06/2019,17
1,16/06/2020,16
1,16/06/2021,24
1,16/06/2022,26
1,16/06/2023,21
1,16/07/2019,20
1,16/07/2020,19
1,16/07/2021,19
1,16/07/2022,21
1,16/07/2023,22
1,16/08/2019,17
1,16/08/2020,22
1,16/08/2021,20
1,16/08/2022,23
1,16/08/2023,25
1,16/09/2019,22
1,16/09/2020,24
1,16/09/2021,20
1,16/09/2022,18
1,16/09/2023,23
1,16/10/2019,12
1,16/10/2020,10
1,16/10/2021,7
1,16/10/2022,21
1,16/10/2023,10
1,16/11/2019,4
1,16/11/2020,10
1,16/11/2021,7
1,16/11/2022,12
1,16/11/2023,10
1,16/12/2019,12
1,16/12/2020,9
1,16/12/2021,1
1,16/12/2022,"0"
1,16/12/2023,2
1,17/01/2019,6
1,17/01/2020,8
1,17/01/2021,"0"
1,17/01/2022,-1
1,17/01/2023,4
1,17/02/2019,10
1,17/02/2020,10
1,17/02/2021,8
1,17/02/2022,12
1,17/02/2023,9
1,17/03/2019,12
1,17/03/2020,13
1,17/03/2021,5
1,17/03/2022,9
1,17/03/2023,14
1,17/04/2019,14
1,17/04/2020,16
1,17/04/2021,6
1,17/04/2022,10
1,17/04/2023,11
1,17/05/2019,13
1,17/05/2020,14
1,17/05/2021,12
1,17/05/2022,21
1,17/05/2023,12
1,17/06/2019,18
1,17/06/2020,17
1,17/06/2021,26
1,17/06/2022,24
1,17/06/2023,21
1,17/07/2019,21
1,17/07/2020,19
1,17/07/2021,20
1,17/07/2022,22
1,17/07/2023,24
1,17/08/2019,22
1,17/08/2020,21
1,17/08/2021,17
1,17/08/2022,22
1,17/08/2023,27
1,17/09/2019,20
1,17/09/2020,22
1,17/09/2021,19
1,17/09/2022,13
1,17/09/2023,24
1,17/10/2019,16
1,17/10/2020,9
1,17/10/2021,9
1,17/10/2022,21
1,17/10/2023,14
1,17/11/2019,"0"
1,17/11/2020,8
1,17/11/2021,5
1,17/11/2022,14
1,17/11/2023,9
1,17/12/2019,13
1,17/12/2020,7
1,17/12/2021,3
1,17/12/2022,-2
1,17/12/2023,3
1,18/01/2019,1
1,18/01/2020,3
1,18/01/2021,"0"
1,18/01/2022,1
1,18/01/2023,2
1,18/02/2019,11
1,18/02/2020,5
1,18/02/2021,8
1,18/02/2022,12
1,18/02/2023,12
1,18/03/2019,6
1,18/03/2020,11
1,18/03/2021,4
1,18/03/2022,9
1,18/03/2023,14
1,18/04/2019,15
1,18/04/2020,18
1,18/04/2021,7
1,18/04/2022,11
1,18/04/2023,10
1,18/05/2019,13
1,18/05/2020,15
1,18/05/2021,11
1,18/05/2022,22
1,18/05/2023,12
1,18/06/2019,22
1,18/06/2020,17
1,18/06/2021,25
1,18/06/2022,26
